namespace,type,kind,bases,methods,fields,references,flags,file
proto,PrepareMatchSkillInfo,class,,0,4,,,proto/PrepareMatchSkillInfo.cs
proto,PresetLoadoutSchema,class,,0,10,,,proto/PresetLoadoutSchema.cs
proto,PresetRecommendConfigDesc,class,,0,4,,,proto/PresetRecommendConfigDesc.cs
proto,PreveteranInfo,class,,0,5,,,proto/PreveteranInfo.cs
proto,PreviewWebDesc,class,IMessage,1,4,,,proto/PreviewWebDesc.cs
proto,PrimeCDNDesc,class,IMessage,1,3,,,proto/PrimeCDNDesc.cs
proto,PrimeEventDesc,class,IMessage,1,7,,,proto/PrimeEventDesc.cs
proto,PrimeFestivalAward,class,,0,2,,,proto/PrimeFestivalAward.cs
proto,PrimeFestivalAwardDesc,class,IMessage,1,2,,,proto/PrimeFestivalAwardDesc.cs
proto,PrimeFestivalDesc,class,IMessage,1,11,,,proto/PrimeFestivalDesc.cs
proto,PrimeLeaderboardDesc,class,IMessage,1,5,,,proto/PrimeLeaderboardDesc.cs
proto,PrimeLevelDesc,class,IMessage,1,23,,,proto/PrimeLevelDesc.cs
proto,PrimePrivilegeDesc,class,IMessage,1,12,,,proto/PrimePrivilegeDesc.cs
proto,PrimePrivilegeDetail,class,IMessage,1,7,,,proto/PrimePrivilegeDetail.cs
proto,PrimeSettingCDNCollect,class,,0,62,,,proto/PrimeSettingCDNCollect.cs
proto,PrimeSettingDesc,class,,0,3,,,proto/PrimeSettingDesc.cs
proto,PrimeStoreDesc,class,IMessage,1,7,,,proto/PrimeStoreDesc.cs
proto,PrimeStoreItemDesc,class,IMessage,1,17,,,proto/PrimeStoreItemDesc.cs
proto,PrivilegeConfigDesc,class,IMessage,1,1,,,proto/PrivilegeConfigDesc.cs
proto,PrivilegeItemInfo,class,,0,3,,,proto/PrivilegeItemInfo.cs
proto,ProbabilityType,enum,,0,0,,,proto/ProbabilityType.cs
proto,ProfileNewProfileNtf,class,,0,2,,,proto/ProfileNewProfileNtf.cs
proto,ProtoAccountApplyBindInfo,class,,0,2,,,proto/ProtoAccountApplyBindInfo.cs
proto,ProtoAccountApplyUnbindInfo,class,,0,3,,,proto/ProtoAccountApplyUnbindInfo.cs
proto,PublishChecklistStatusDesc,class,,0,3,,,proto/PublishChecklistStatusDesc.cs
proto,PunishRecord,class,,0,3,,,proto/PunishRecord.cs
proto,PveBuffTokenUsed,class,,0,2,,,proto/PveBuffTokenUsed.cs
proto,PveReviveTokenUsed,class,,0,2,,,proto/PveReviveTokenUsed.cs
proto,PveSlotInfo,class,IMessage,1,2,,,proto/PveSlotInfo.cs
proto,QuickFeedbackQuestDesc,class,,0,12,,,proto/QuickFeedbackQuestDesc.cs
proto,QuickMsgModeSettings,class,IMessage,1,3,,,proto/QuickMsgModeSettings.cs
proto,QuickMsgSettings,class,IMessage,1,2,,,proto/QuickMsgSettings.cs
proto,QuitControlDesc,class,IMessage,1,3,,,proto/QuitControlDesc.cs
proto,RaceAwardExchange,class,,0,3,,,proto/RaceAwardExchange.cs
proto,Ramadan25BFoodDesc,class,,0,20,,,proto/Ramadan25BFoodDesc.cs
proto,Ramadan25BSettingDesc,class,,0,6,,,proto/Ramadan25BSettingDesc.cs
proto,Rampage4BTowerDesc,class,,0,6,,,proto/Rampage4BTowerDesc.cs
proto,Rampage4BTowerGoSettingShow,class,,0,7,,,proto/Rampage4BTowerGoSettingShow.cs
proto,Rampage4BTowerProgressSettingDesc,class,,0,3,,,proto/Rampage4BTowerProgressSettingDesc.cs
proto,Rampage4BTowerStoryDesc,class,,0,10,,,proto/Rampage4BTowerStoryDesc.cs
proto,Rampage4BTowerWeather,class,,0,2,,,proto/Rampage4BTowerWeather.cs
proto,RampagePoints,class,,0,2,,,proto/RampagePoints.cs
proto,RampageRankDesc,class,,0,3,,,proto/RampageRankDesc.cs
proto,RampageSettingDesc,class,,0,16,,,proto/RampageSettingDesc.cs
proto,RandomSkinInfo,class,IMessage,1,3,,,proto/RandomSkinInfo.cs
proto,RandomSkinSwitchDesc,class,IMessage,1,3,,,proto/RandomSkinSwitchDesc.cs
proto,RandomSlotInfo,class,IMessage,1,3,,,proto/RandomSlotInfo.cs
proto,RankAwardsDesc,class,IMessage,1,3,,,proto/RankAwardsDesc.cs
proto,RankExchangeDisplayDesc,class,IMessage,1,6,,,proto/RankExchangeDisplayDesc.cs
proto,RankExchangeLimitItemDesc,class,IMessage,1,8,,,proto/RankExchangeLimitItemDesc.cs
proto,RankMasterLevel,class,,0,4,,,proto/RankMasterLevel.cs
proto,RankPoolRuleDesc,class,,0,8,,,proto/RankPoolRuleDesc.cs
proto,RankTopAwardsDesc,class,IMessage,1,3,,,proto/RankTopAwardsDesc.cs
proto,RankingActivityConfig,class,IMessage,1,6,,,proto/RankingActivityConfig.cs
proto,RankingAwardExhibitDesc,class,IMessage,1,2,,,proto/RankingAwardExhibitDesc.cs
proto,RankingCardDesc,class,IMessage,1,11,,,proto/RankingCardDesc.cs
proto,RankingCreditPunish,class,,0,2,,,proto/RankingCreditPunish.cs
proto,RankingFixedMMRInfo,class,,0,5,,,proto/RankingFixedMMRInfo.cs
proto,RankingInfo,class,,0,6,,,proto/RankingInfo.cs
proto,RankingItemRank,class,IMessage,1,6,,,proto/RankingItemRank.cs
proto,RankingItemRankAffectedSeason,enum,,0,0,,,proto/RankingItemRankAffectedSeason.cs
proto,RankingLevelLimitDesc,class,,0,6,,,proto/RankingLevelLimitDesc.cs
proto,RankingLevelLimitDescList,class,,0,1,,,proto/RankingLevelLimitDescList.cs
proto,RankingMMRMultiModeFixInfo,class,,0,3,,,proto/RankingMMRMultiModeFixInfo.cs
proto,RankingMMRPreGroupFixInfo,class,,0,3,,,proto/RankingMMRPreGroupFixInfo.cs
proto,RankingMatchParam,class,IMessage,1,56,,,proto/RankingMatchParam.cs
proto,RankingMultiModeBonusDesc,class,IMessage,1,3,,,proto/RankingMultiModeBonusDesc.cs
proto,RankingPlayerTitleInfo,class,,0,4,,,proto/RankingPlayerTitleInfo.cs
proto,RankingPointsDeltaDaily,class,,0,3,,,proto/RankingPointsDeltaDaily.cs
proto,RankingPointsDeltaHistory,class,,0,2,,,proto/RankingPointsDeltaHistory.cs
proto,RankingPointsDetail,class,,0,30,,,proto/RankingPointsDetail.cs
proto,RankingSeasonFriendStats,class,,0,10,,,proto/RankingSeasonFriendStats.cs
proto,RankingSeasonInfo,class,IMessage,1,22,,,proto/RankingSeasonInfo.cs
proto,RankingSeasonLeaderboardInfo,class,,0,3,,,proto/RankingSeasonLeaderboardInfo.cs
proto,RankingSeasonRankRecord,class,,0,3,,,proto/RankingSeasonRankRecord.cs
proto,RankingSeasonRecommendFriend,class,,0,2,,,proto/RankingSeasonRecommendFriend.cs
proto,RankingSeasonReplayEvent,class,,0,3,,,proto/RankingSeasonReplayEvent.cs
proto,RankingSeasonWeaponStats,class,,0,7,,,proto/RankingSeasonWeaponStats.cs
proto,RankingStatsSummary,class,,0,6,,,proto/RankingStatsSummary.cs
proto,RankingTaskCdtDesc,class,IMessage,1,19,,,proto/RankingTaskCdtDesc.cs
proto,RankingTaskDesc,class,,0,2,,,proto/RankingTaskDesc.cs
proto,RankingTaskInfo,class,IMessage,1,4,,,proto/RankingTaskInfo.cs
proto,RankingTaskUpdateInfo,class,,0,5,,,proto/RankingTaskUpdateInfo.cs
proto,RankingTipsABTestDesc,class,IMessage,1,6,,,proto/RankingTipsABTestDesc.cs
proto,RankingTitleInfo,class,IMessage,2,9,,,proto/RankingTitleInfo.cs
proto,RankingTitleRecordInfo,class,,0,5,,,proto/RankingTitleRecordInfo.cs
proto,RankingTitleRecords,class,,0,2,,,proto/RankingTitleRecords.cs
proto,RankingWarmMatchInfo,class,,0,12,,,proto/RankingWarmMatchInfo.cs
proto,RankingWinPass,class,,0,2,,,proto/RankingWinPass.cs
proto,RankingWinPassDesc,class,IMessage,1,8,,,proto/RankingWinPassDesc.cs
proto,RankingWinPassStage,class,,0,2,,,proto/RankingWinPassStage.cs
proto,RareProbability,class,,0,2,,,proto/RareProbability.cs
proto,RateAppSwitchDesc,class,IMessage,1,10,,,proto/RateAppSwitchDesc.cs
proto,RebateCardDesc,class,IMessage,1,12,,,proto/RebateCardDesc.cs
proto,RebateSubscriptionBonusStatus,class,,0,2,,,proto/RebateSubscriptionBonusStatus.cs
proto,ReceivedRedEnvelope,class,,0,6,,,proto/ReceivedRedEnvelope.cs
proto,RecommendShowDesc,class,IMessage,1,4,,,proto/RecommendShowDesc.cs
proto,RecommendTopUpTeam,class,,0,2,,,proto/RecommendTopUpTeam.cs
proto,RecommendTopUpTeamType,enum,,0,0,,,proto/RecommendTopUpTeamType.cs
proto,RecordChatContentSwitchDesc,class,,0,3,,,proto/RecordChatContentSwitchDesc.cs
proto,RecruitVarDesc,class,IMessage,1,25,,,proto/RecruitVarDesc.cs
proto,RedEnvelope,class,,0,2,,,proto/RedEnvelope.cs
proto,RegionAreaLeaderboardDesc,class,,0,2,,,proto/RegionAreaLeaderboardDesc.cs
proto,RegionCoverInfo,class,,0,2,,,proto/RegionCoverInfo.cs
proto,RegionIDMapping,class,IMessage,1,2,,,proto/RegionIDMapping.cs
proto,RegionLeaderboardAreaDesc,class,,1,4,,,proto/RegionLeaderboardAreaDesc.cs
proto,RegionLeaderboardAwardDesc,class,,0,4,,,proto/RegionLeaderboardAwardDesc.cs
proto,RelationTypeInfoDesc,class,IMessage,1,9,,,proto/RelationTypeInfoDesc.cs
proto,RelayMartDiscountCodeInfo,class,,0,7,,,proto/RelayMartDiscountCodeInfo.cs
proto,RelayMartSettingDesc,class,IMessage,1,20,,,proto/RelayMartSettingDesc.cs
proto,RelayMartSharedDiscountCode,class,,0,3,,,proto/RelayMartSharedDiscountCode.cs
proto,RelayMartShopDesc,class,IMessage,1,12,,,proto/RelayMartShopDesc.cs
proto,ReleaseVersion,class,IMessage,1,3,,,proto/ReleaseVersion.cs
proto,RematchConfigDesc,class,,0,3,,,proto/RematchConfigDesc.cs
proto,RematchPlayer,class,,0,3,,,proto/RematchPlayer.cs
proto,RematchSwitchDesc,class,,0,3,,,proto/RematchSwitchDesc.cs
proto,RemoveLeaderboardTitleReq,class,,0,3,,,proto/RemoveLeaderboardTitleReq.cs
proto,ReportGGPInfo,class,IMessage,1,9,,,proto/ReportGGPInfo.cs
proto,ReportInfo,class,,0,9,,,proto/ReportInfo.cs
proto,ReportMailInfo,class,,0,7,,,proto/ReportMailInfo.cs
proto,ResourceDownloadInfo,class,,0,4,,,proto/ResourceDownloadInfo.cs
proto,ResourceStoreLimit,class,,0,3,,,proto/ResourceStoreLimit.cs
proto,RestoreArchivedDataReq,class,,0,4,,,proto/RestoreArchivedDataReq.cs
proto,RestoreArchivedDataRes,class,,0,1,,,proto/RestoreArchivedDataRes.cs
proto,ReturnPlayerConfigDesc,class,IMessage,1,2,,,proto/ReturnPlayerConfigDesc.cs
proto,ReturnPlayerSettingDesc,class,,0,1,,,proto/ReturnPlayerSettingDesc.cs
proto,ReturnerCallbackInfo,class,,0,3,,,proto/ReturnerCallbackInfo.cs
proto,RevenueEntranceShowDesc,class,IMessage,1,2,,,proto/RevenueEntranceShowDesc.cs
proto,ReviveTokenUsed,class,,0,3,,,proto/ReviveTokenUsed.cs
proto,RewardStatus,class,IMessage,1,3,,,proto/RewardStatus.cs
proto,RoleDebrisPurchaseDesc,class,IMessage,1,4,,,proto/RoleDebrisPurchaseDesc.cs
proto,RookieAnswerDesc,class,,0,9,,,proto/RookieAnswerDesc.cs
proto,RoomBasicInfo,class,,0,53,,,proto/RoomBasicInfo.cs
proto,RoomCSZoneConfigDesc,class,,0,4,,,proto/RoomCSZoneConfigDesc.cs
proto,RoomCreateRuleDesc,class,,0,14,,,proto/RoomCreateRuleDesc.cs
proto,RoomCreateRuleDropDesc,class,,0,35,,,proto/RoomCreateRuleDropDesc.cs
proto,RoomCreateRuleRes,class,,0,3,,,proto/RoomCreateRuleRes.cs
proto,RoomFriendWinStats,class,,0,2,,,proto/RoomFriendWinStats.cs
proto,RoomGroupMatchStats,class,,0,6,,,proto/RoomGroupMatchStats.cs
proto,RoomPlayerMatchStats,class,,0,6,,,proto/RoomPlayerMatchStats.cs
proto,RoomPlayerPresetInfo,class,,0,8,,,proto/RoomPlayerPresetInfo.cs
proto,RoomPresetSetting,class,,0,3,,,proto/RoomPresetSetting.cs
proto,RoomSettingDesc,class,,0,9,,,proto/RoomSettingDesc.cs
proto,RoomWinStats,class,,0,3,,,proto/RoomWinStats.cs
proto,SF50BAccountInfo,class,,0,3,,,proto/SF50BAccountInfo.cs
proto,SF50BActivityInfo,class,,0,2,,,proto/SF50BActivityInfo.cs
proto,SF50BCareerBaseDesc,class,,0,5,,,proto/SF50BCareerBaseDesc.cs
proto,SF50BCareerData,class,,0,4,,,proto/SF50BCareerData.cs
proto,SF50BCareerInfo,class,,0,2,,,proto/SF50BCareerInfo.cs
proto,SF50BCareerProficiencyDesc,class,,0,4,,,proto/SF50BCareerProficiencyDesc.cs
proto,SF50BFixedCareerDesc,class,,0,3,,,proto/SF50BFixedCareerDesc.cs
proto,SF50BSettingDesc,class,,0,11,,,proto/SF50BSettingDesc.cs
proto,SamoAIClothingSkin,class,,0,9,,,proto/SamoAIClothingSkin.cs
proto,ScoreTagType,enum,,0,0,,,proto/ScoreTagType.cs
proto,ScrollMarqueeDesc,class,,0,16,,,proto/ScrollMarqueeDesc.cs
proto,SeasonLimitedItemDesc,class,IMessage,1,3,,,proto/SeasonLimitedItemDesc.cs
proto,SeasonYearDesc,class,IMessage,1,10,,,proto/SeasonYearDesc.cs
proto,SecondTabDesc,class,IMessage,1,7,,,proto/SecondTabDesc.cs
proto,SecondaryAccountBindRes,class,,0,1,,,proto/SecondaryAccountBindRes.cs
proto,SecretMissionDesc,class,,0,7,,,proto/SecretMissionDesc.cs
proto,SelectedItems,class,IMessage,1,26,,,proto/SelectedItems.cs
proto,SepcialFriendsAppsRes,class,,0,4,,,proto/SepcialFriendsAppsRes.cs
proto,SettingsTransferStatus,enum,,0,0,,,proto/SettingsTransferStatus.cs
proto,SeventhBAccountInfo,class,,0,7,,,proto/SeventhBAccountInfo.cs
proto,SeventhBAvatarInfo,class,,0,2,,,proto/SeventhBAvatarInfo.cs
proto,SeventhBChapterDesc,class,,0,6,,,proto/SeventhBChapterDesc.cs
proto,SeventhBChatper,class,,0,2,,,proto/SeventhBChatper.cs
proto,SeventhBData,class,,0,65,,,proto/SeventhBData.cs
proto,SeventhBDataDesc,class,,0,9,,,proto/SeventhBDataDesc.cs
proto,SeventhBDistributeSettingDesc,class,,0,6,,,proto/SeventhBDistributeSettingDesc.cs
proto,SeventhBDistributorInfo,class,,0,2,,,proto/SeventhBDistributorInfo.cs
proto,SeventhBEasterEggDesc,class,,0,10,,,proto/SeventhBEasterEggDesc.cs
proto,SeventhBFriendInfo,class,,0,3,,,proto/SeventhBFriendInfo.cs
proto,SeventhBFriendInfoRes,class,,0,3,,,proto/SeventhBFriendInfoRes.cs
proto,SeventhBMatchStats,class,,0,11,,,proto/SeventhBMatchStats.cs
proto,SeventhBPictureDesc,class,,0,5,,,proto/SeventhBPictureDesc.cs
proto,SeventhBPos,class,,0,4,,,proto/SeventhBPos.cs
proto,SeventhBRecallDesc,class,,0,8,,,proto/SeventhBRecallDesc.cs
proto,SeventhBSettingDesc,class,,0,14,,,proto/SeventhBSettingDesc.cs
proto,SeventhBSpecialDataDesc,class,,0,4,,,proto/SeventhBSpecialDataDesc.cs
proto,ShareSettingDesc,class,IMessage,2,17,,,proto/ShareSettingDesc.cs
proto,SharedGachaAccountInfo,class,,0,14,,,proto/SharedGachaAccountInfo.cs
proto,SharedGachaAccountPoolInfo,class,,0,2,,,proto/SharedGachaAccountPoolInfo.cs
proto,SharedGachaAccountRewardInfo,class,,0,2,,,proto/SharedGachaAccountRewardInfo.cs
proto,SharedGachaCollectRewardDesc,class,IMessage,1,12,,,proto/SharedGachaCollectRewardDesc.cs
proto,SharedGachaDiscountDesc,class,,0,7,,,proto/SharedGachaDiscountDesc.cs
proto,SharedGachaGlobalSettingDesc,class,,0,18,,,proto/SharedGachaGlobalSettingDesc.cs
proto,SharedGachaGoodsDesc,class,,0,13,,,proto/SharedGachaGoodsDesc.cs
proto,SharedGachaHistoryInfo,class,,0,4,,,proto/SharedGachaHistoryInfo.cs
proto,SharedGachaPoolInfo,class,,0,9,,,proto/SharedGachaPoolInfo.cs
proto,SharedGachaPoolItemInfo,class,,0,2,,,proto/SharedGachaPoolItemInfo.cs
proto,SharedGachaPriceDesc,class,,0,8,,,proto/SharedGachaPriceDesc.cs
proto,SharedGachaSettingDesc,class,IMessage,1,25,,,proto/SharedGachaSettingDesc.cs
proto,ShoppingMallScreenDesc,class,IMessage,1,29,,,proto/ShoppingMallScreenDesc.cs
proto,ShortWorkshopCodeInfo,class,,0,3,,,proto/ShortWorkshopCodeInfo.cs
proto,SingleDrawReward,class,,0,4,,,proto/SingleDrawReward.cs
proto,SixthBBarrageWordsDesc,class,,0,5,,,proto/SixthBBarrageWordsDesc.cs
proto,SixthBBulletComment,class,,0,3,,,proto/SixthBBulletComment.cs
proto,SixthBDistributorInfo,class,,0,2,,,proto/SixthBDistributorInfo.cs
proto,SixthBSettingDesc,class,,0,14,,,proto/SixthBSettingDesc.cs
proto,SixthBStickerDesc,class,,0,2,,,proto/SixthBStickerDesc.cs
proto,SkillInfo,class,,0,5,,,proto/SkillInfo.cs
proto,SkillUsageInfo,class,,0,2,,,proto/SkillUsageInfo.cs
proto,SkinTimelineDesc,class,IMessage,1,7,,,proto/SkinTimelineDesc.cs
proto,SmartAssistantMessages,class,,0,3,,,proto/SmartAssistantMessages.cs
proto,SocialBasicInfo,class,IMessage,1,14,,,proto/SocialBasicInfo.cs
proto,SocialHallArenaSettingsDesc,class,,0,6,,,proto/SocialHallArenaSettingsDesc.cs
proto,SocialHallDanceSettingsDesc,class,,0,5,,,proto/SocialHallDanceSettingsDesc.cs
proto,SocialHighLight,class,IMessage,8,6,,,proto/SocialHighLight.cs
proto,SocialHighLightsWithSocialBasicInfo,class,IMessage,1,2,,,proto/SocialHighLightsWithSocialBasicInfo.cs
proto,SocialProfileInfo,class,,0,7,,,proto/SocialProfileInfo.cs
proto,SocialProfilesData,class,,0,1,,,proto/SocialProfilesData.cs
proto,SocialRecommendLabels,class,,0,4,,,proto/SocialRecommendLabels.cs
proto,SparkActiveDesc,class,,0,3,,,proto/SparkActiveDesc.cs
proto,SparkColorWheelDesc,class,,0,7,,,proto/SparkColorWheelDesc.cs
proto,SparkExpSettingDesc,class,,0,1,,,proto/SparkExpSettingDesc.cs
proto,SparkGachaPoolDesc,class,,0,4,,,proto/SparkGachaPoolDesc.cs
proto,SparkGachaPoolInfo,class,,0,5,,,proto/SparkGachaPoolInfo.cs
proto,SparkGachaPoolRewardInfo,class,,0,5,,,proto/SparkGachaPoolRewardInfo.cs
proto,SparkInfo,class,IMessage,1,11,,,proto/SparkInfo.cs
proto,SparkLevelAwardDesc,class,,0,11,,,proto/SparkLevelAwardDesc.cs
proto,SparkStageAppearance,class,IMessage,1,2,,,proto/SparkStageAppearance.cs
proto,SpecialModeOpeningInfoDesc,class,,1,23,,,proto/SpecialModeOpeningInfoDesc.cs
proto,SpecificIntimacyRankAwardInfo,class,,0,3,,,proto/SpecificIntimacyRankAwardInfo.cs
proto,SpectateCurrencyRewardDesc,class,IMessage,1,6,,,proto/SpectateCurrencyRewardDesc.cs
proto,SpectateCurrencySettingDesc,class,IMessage,1,3,,,proto/SpectateCurrencySettingDesc.cs
proto,SpectateModeDesc,class,,0,5,,,proto/SpectateModeDesc.cs
proto,SpectateRankLimitDesc,class,IMessage,1,5,,,proto/SpectateRankLimitDesc.cs
proto,SpectateRewardInfo,class,,0,4,,,proto/SpectateRewardInfo.cs
proto,SpectatorInteractionInfo,class,,0,7,,,proto/SpectatorInteractionInfo.cs
proto,SplashBannerDesc,class,,0,34,,,proto/SplashBannerDesc.cs
proto,SplashBannerDescList,class,,0,1,,,proto/SplashBannerDescList.cs
proto,SquadTreasureAwardDesc,class,IMessage,1,9,,,proto/SquadTreasureAwardDesc.cs
proto,SquadTreasureSettingDesc,class,IMessage,1,27,,,proto/SquadTreasureSettingDesc.cs
proto,StartCrossMapMatchmakingReq,class,,0,3,,,proto/StartCrossMapMatchmakingReq.cs
proto,StarterStoreItemDesc,class,IMessage,1,19,,,proto/StarterStoreItemDesc.cs
proto,StickerConfigDesc,class,IMessage,1,18,,,proto/StickerConfigDesc.cs
proto,StickerInfo,class,,0,3,,,proto/StickerInfo.cs
proto,StoreDesc,class,IMessage,1,30,,,proto/StoreDesc.cs
proto,StoreTableDesc,class,IMessage,1,5,,,proto/StoreTableDesc.cs
proto,StreamerBaseInfo,class,,0,4,,,proto/StreamerBaseInfo.cs
proto,SubmitChampionshipTeamMatchStatsReq,class,,0,9,,,proto/SubmitChampionshipTeamMatchStatsReq.cs
proto,SubmitTeamCupMatchStatsReq,class,,0,4,,,proto/SubmitTeamCupMatchStatsReq.cs
proto,SubscribeStoreDesc,class,,0,28,,,proto/SubscribeStoreDesc.cs
proto,SuperFighterBoxingDesc,class,,0,5,,,proto/SuperFighterBoxingDesc.cs
proto,SuperFighterEnemyDesc,class,,0,7,,,proto/SuperFighterEnemyDesc.cs
proto,SuperFighterSettingDesc,class,,0,10,,,proto/SuperFighterSettingDesc.cs
proto,SupercarHelpPlayer,class,,0,4,,,proto/SupercarHelpPlayer.cs
proto,SupercarRoundAward,class,,0,2,,,proto/SupercarRoundAward.cs
proto,SupercarSettingDesc,class,,0,13,,,proto/SupercarSettingDesc.cs
proto,SupercarSpeedDesc,class,,0,6,,,proto/SupercarSpeedDesc.cs
proto,SutoritoBoxingDesc,class,,0,7,,,proto/SutoritoBoxingDesc.cs
proto,SutoritoEnemyDesc,class,,0,10,,,proto/SutoritoEnemyDesc.cs
proto,SutoritoSettingDesc,class,,0,16,,,proto/SutoritoSettingDesc.cs
proto,SwitchDesc,class,IMessage,1,5,,,proto/SwitchDesc.cs
proto,TabStarItemInfo,class,,0,2,,,proto/TabStarItemInfo.cs
proto,TagRuleTagType,enum,,0,0,,,proto/TagRuleTagType.cs
proto,TagRuleTeamTagRule,enum,,0,0,,,proto/TagRuleTeamTagRule.cs
proto,TailorSettingDesc,class,IComparable<TailorSettingDesc>,1,14,,,proto/TailorSettingDesc.cs
proto,TailorUnlockDesc,class,,0,11,,,proto/TailorUnlockDesc.cs
proto,TailorUnlockInfo,class,,0,7,,,proto/TailorUnlockInfo.cs
proto,TalentPVEDesc,class,,0,7,,,proto/TalentPVEDesc.cs
proto,TeamApplicantRes,class,,0,3,,,proto/TeamApplicantRes.cs
proto,TeamChampionshipInfo,class,,0,15,,,proto/TeamChampionshipInfo.cs
proto,TeamChampionshipInfoBundleRes,class,,0,1,,,proto/TeamChampionshipInfoBundleRes.cs
proto,TeamChampionshipMatchStats,class,,0,10,,,proto/TeamChampionshipMatchStats.cs
proto,TeamIDReq,class,,0,1,,,proto/TeamIDReq.cs
proto,TeamInfo,class,,0,17,,,proto/TeamInfo.cs
proto,TeamInvitationRes,class,,0,4,,,proto/TeamInvitationRes.cs
proto,TeamLeaderboardItem,class,,0,4,,,proto/TeamLeaderboardItem.cs
proto,TeamLeaderboardProfile,class,,0,3,,,proto/TeamLeaderboardProfile.cs
proto,TeamLeaderboardRes,class,,0,3,,,proto/TeamLeaderboardRes.cs
proto,TeamMatchStats,class,,0,13,,,proto/TeamMatchStats.cs
proto,TeamMemberListWithAccountInfo,class,,0,1,,,proto/TeamMemberListWithAccountInfo.cs
proto,TeamMemberWithAccountInfo,class,,0,5,,,proto/TeamMemberWithAccountInfo.cs
proto,TeamSeasonStats,class,,0,6,,,proto/TeamSeasonStats.cs
proto,TeamStatsBundleRes,class,,0,1,,,proto/TeamStatsBundleRes.cs
proto,TeamUpBonusDesc,class,,0,8,,,proto/TeamUpBonusDesc.cs
proto,TeamUpBonusVeteranDesc,class,,0,2,,,proto/TeamUpBonusVeteranDesc.cs
proto,TeamUpRecommendConfigDesc,class,IMessage,1,7,,,proto/TeamUpRecommendConfigDesc.cs
proto,TeamUpTokenDetail,class,,0,4,,,proto/TeamUpTokenDetail.cs
proto,TeamingRankRuleDesc,class,IMessage,1,9,,,proto/TeamingRankRuleDesc.cs
proto,TeamingScoreRuleDesc,class,IMessage,1,9,,,proto/TeamingScoreRuleDesc.cs
proto,TeammateInteractionDetail,class,,0,13,,,proto/TeammateInteractionDetail.cs
proto,TeammateStats,class,,0,97,,,proto/TeammateStats.cs
proto,ThumbUpTutorialDesc,class,,0,2,,,proto/ThumbUpTutorialDesc.cs
proto,TicketPriceDesc,class,IMessage,1,14,,,proto/TicketPriceDesc.cs
proto,TimeRange,class,,0,2,,,proto/TimeRange.cs
proto,TodayMatchRecord,class,,0,3,,,proto/TodayMatchRecord.cs
proto,TopUpMember,class,,0,6,,,proto/TopUpMember.cs
proto,TopUpTeam,class,,0,8,,,proto/TopUpTeam.cs
proto,TopUpTeamInvitation,class,,0,3,,,proto/TopUpTeamInvitation.cs
proto,TopUpTeamJoinReason,enum,,0,0,,,proto/TopUpTeamJoinReason.cs
proto,TopUpTeamState,enum,,0,0,,,proto/TopUpTeamState.cs
proto,TouchIceSculptureInfo,class,,0,3,,,proto/TouchIceSculptureInfo.cs
proto,TournamentInfo,class,,0,5,,,proto/TournamentInfo.cs
proto,TournamentMemberInfo,class,,0,3,,,proto/TournamentMemberInfo.cs
proto,ToxicNameDetectionDesc,class,,0,4,,,proto/ToxicNameDetectionDesc.cs
proto,Trea25BAccountInfo,class,,0,12,,,proto/Trea25BAccountInfo.cs
proto,Trea25BAwardDesc,class,,0,7,,,proto/Trea25BAwardDesc.cs
proto,Trea25BErrorCode,enum,,0,0,,,proto/Trea25BErrorCode.cs
proto,Trea25BFriendInfo,class,,0,6,,,proto/Trea25BFriendInfo.cs
proto,Trea25BGridData,class,,0,4,,,proto/Trea25BGridData.cs
proto,Trea25BGridInfo,class,,0,7,,,proto/Trea25BGridInfo.cs
proto,Trea25BMapGridColDesc,class,,0,1,,,proto/Trea25BMapGridColDesc.cs
proto,Trea25BMapGridDesc,class,,0,2,,,proto/Trea25BMapGridDesc.cs
proto,Trea25BMapInfo,class,,0,5,,,proto/Trea25BMapInfo.cs
proto,Trea25BResultDesc,class,,0,5,,,proto/Trea25BResultDesc.cs
proto,Trea25BSettingDesc,class,,0,15,,,proto/Trea25BSettingDesc.cs
proto,TreasureBoxInfo,class,,0,5,,,proto/TreasureBoxInfo.cs
proto,TreasureBoxShow,class,IMessage,1,2,,,proto/TreasureBoxShow.cs
proto,TreasureBoxShowData,class,"CSVBaseData, IMessage",4,12,,,proto/TreasureBoxShowData.cs
proto,TreasureTable,class,IMessage,1,12,,,proto/TreasureTable.cs
proto,TrendAgentB,class,,0,0,,,proto/TrendAgentB.cs
proto,TrendAgentBInfo,class,,0,9,,,proto/TrendAgentBInfo.cs
proto,TrendAgentBThemeDesc,class,,0,7,,,proto/TrendAgentBThemeDesc.cs
proto,TriggeredEvent,class,,0,2,,,proto/TriggeredEvent.cs
proto,UGCMatchStats,class,,0,10,,,proto/UGCMatchStats.cs
proto,UGCPlayerStats,class,,0,21,,,proto/UGCPlayerStats.cs
proto,UGCResourceStoreLimitDesc,class,,0,4,,,proto/UGCResourceStoreLimitDesc.cs
proto,UGCSelectionPageCustomLocDesc,class,,0,3,,,proto/UGCSelectionPageCustomLocDesc.cs
proto,UGCSelectionPageDesc,class,,0,10,,,proto/UGCSelectionPageDesc.cs
proto,UGCTeamStats,class,,0,5,,,proto/UGCTeamStats.cs
proto,UniversalLinkSettingDesc,class,IMessage,1,4,,,proto/UniversalLinkSettingDesc.cs
